name,state,revenue,federal_revenue,state_revenue,local_revenue,expenses
PARK VIEW SCHOOL  INC.,Arizona,2050,192,1849,9,2215
PAINTED PONY RANCH CHARTER SCHOOL,Arizona,774,8,751,15,710
MARY ELLEN HALVORSON EDUCATIONAL FOUNDATION. DBA: TRI-CITY P,Arizona,1658,0,1618,40,2267
BENSON UNIFIED SCHOOL DISTRICT,Arizona,9850,1055,3252,5543,9532
PAINTED DESERT DEMONSTRATION PROJECTS  INC.,Arizona,2096,1454,629,13,2424
THE SHELBY SCHOOL,Arizona,325,25,300,0,333
PRECISION ACADEMY SYSTEMS  INC,Arizona,3596,168,3397,31,3951
LITTLE LAMB COMMUNITY SCHOOL,Arizona,1705,27,1678,0,2224
AMERICAN BASIC SCHOOLS LLC,Arizona,4983,0,4965,18,5983
CAREER SUCCESS SCHOOLS,Arizona,5701,401,5300,0,4445
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE ELEMENTARY SCHO,Arizona,2652,428,2224,0,3042
DAISY EDUCATION CORPORATION DBA SONORAN SCIENCE ACADEMY,Arizona,5177,312,4831,34,4249
HORIZON COMMUNITY LEARNING CENTER  INC.,Arizona,9466,144,9322,0,9206
KAIZEN EDUCATION FOUNDATION DBA SOUTH POINTE JUNIOR HIGH SCH,Arizona,1782,272,1510,0,1936
MILESTONES CHARTER SCHOOL,Arizona,1699,22,1677,0,1530
PATHFINDER CHARTER SCHOOL FOUNDATION,Arizona,4657,1047,3608,2,4110
JAMES MADISON PREPARATORY SCHOOL,Arizona,1547,15,1532,0,1642
SELF DEVELOPMENT CHARTER SCHOOL,Arizona,2781,0,2781,0,2801
EXCALIBUR CHARTER SCHOOLS  INC.,Arizona,2620,332,2283,5,2150
PARAMOUNT EDUCATION STUDIES INC,Arizona,2341,142,2199,0,1903
METROPOLITAN ARTS INSTITUTE  INC.,Arizona,1878,22,1856,0,1716
P.L.C. CHARTER SCHOOLS,Arizona,7280,545,6735,0,5775
PARAGON MANAGEMENT  INC.,Arizona,12182,445,11737,0,11059
SKYLINE SCHOOLS  INC.,Arizona,1823,694,1002,127,1685
EDKEY  INC. - SEQUOIA CHARTER SCHOOL,Arizona,14307,1899,7129,5279,13099
EDKEY  INC. - SEQUOIA VILLAGE SCHOOL,Arizona,1983,171,1788,24,1919
TELESIS CENTER FOR LEARNING  INC.,Arizona,3366,309,3057,0,3699
SOUTHERN ARIZONA COMMUNITY ACADEMY  INC.,Arizona,1655,0,1655,0,1724
TUCSON COUNTRY DAY SCHOOL  INC.,Arizona,3971,64,3907,0,3886
MULTIDIMENSIONAL LITERACY CORP.,Arizona,391,0,391,0,588
CHILDREN'S SUCCESS ACADEMY  INC.,Arizona,540,57,483,0,469
CARDEN OF TUCSON  INC.,Arizona,865,8,857,0,817
SOUTHGATE ACADEMY  INC.,Arizona,3781,73,3705,3,4359
EASTPOINTE HIGH SCHOOL  INC.,Arizona,1486,0,1486,0,1355
PATAGONIA MONTESSORI ELEMENTARY SCHOOL,Arizona,170,22,148,0,212
SANTA CRUZ VALLEY OPPORTUNITIES IN EDUCATION  INC.,Arizona,355,23,332,0,540
PACE PREPARATORY ACADEMY  INC.,Arizona,878,17,861,0,972
KESTREL SCHOOLS  INC.,Arizona,370,29,341,0,283
JUNIPER TREE ACADEMY,Arizona,3702,517,3149,36,3512
GAR  LLC DBA STUDENT CHOICE HIGH SCHOOL,Arizona,1906,0,1906,0,1116
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX,Arizona,3124,260,2860,4,2391
HIGHLAND FREE SCHOOL,Arizona,336,20,316,0,451
ACADEMY WITH COMMUNITY PARTNERS  INC,Arizona,1326,61,1265,0,1048
DEER VALLEY CHARTER SCHOOLS  INC.,Arizona,736,2,734,0,589
WEST GILBERT CHARTER ELEMENTARY SCHOOL  INC.,Arizona,2535,159,2312,64,2482
MOHAVE ACCELERATED LEARNING CENTER,Arizona,3368,0,3368,0,9422
MASADA CHARTER SCHOOL  INC.,Arizona,3751,355,3396,0,6655
HARVEST POWER COMMUNITY DEVELOPMENT GROUP  INC.,Arizona,8850,773,8030,47,9137
OMEGA ALPHA ACADEMY,Arizona,3836,699,3137,0,3603
MONTESSORI HOUSE  INC.,Arizona,325,5,320,0,307
PREMIER CHARTER HIGH SCHOOL,Arizona,1941,143,1798,0,1634
PAN-AMERICAN ELEMENTARY CHARTER,Arizona,3959,99,3860,0,4433
KINGMAN UNIFIED SCHOOL DISTRICT,Arizona,54596,7385,14366,32845,52607
EL CENTRO FOR THE STUDY OF PRIMARY AND SECONDARY EDUCATION,Arizona,725,8,717,0,1147
LEGACY SCHOOLS,Arizona,1797,145,1643,9,2151
VISIONS UNLIMITED ACADEMY  INC.,Arizona,414,0,414,0,559
NORTH STAR CHARTER SCHOOL  INC.,Arizona,1188,35,1153,0,993
CALIBRE ACADEMY,Arizona,5663,620,4994,49,5255
E-INSTITUTE CHARTER SCHOOLS  INC.,Arizona,5372,219,5153,0,4639
IRA H. HAYES MEMORIAL APPLIED LEARNING CENTER  INC.,Arizona,944,459,485,0,813
NEW VISIONS ACADEMY  INC.,Arizona,471,44,427,0,459
